Trt	NumPop	Type	Demog	Envi	SET	NumInd	DataSetNames	GoodBFfile	numNeut	numSel	xtx.999perc	bf.999perc	rho.999perc	xtx.FPR	bf.FPR	rho.FPR	xtx.TPR	bf.TPR	rho.TPR	cpname	K5.999perc	KTW.999perc	KTW	Lq.K.5.FPR	Lq.K.TW.FPR	L.empQ.K.5.FPR	L.empQ.K.TW.FPR	Lq.K.5.TPR	Lq.K.TW.TPR	L.empQ.K.5.TPR	L.empQ.K.TW.TPR	pca.FPR.K10S	pca.TPR.K10S	pca.commonSelFactor.K10S	pca.NumLocicommonSelFactor.K10S	pca.FPR.K20S	pca.TPR.K20S	pca.commonSelFactor.K20S	pca.NumLocicommonSelFactor.K20S	pca.FPR.K10NS	pca.TPR.K10NS	pca.commonSelFactor.K10NS	pca.NumLocicommonSelFactor.K10NS	Vall.none	Vall.pcadapt	Vall.lfmm	Vall.lfmm.pcadapt	Vall.bf	Vall.bf.pcadapt	Vall.bf.lfmm	Vall.bf.lfmm.pcadapt	Vall.xtx	Vall.xtx.pcadapt	Vall.xtx.lfmm	Vall.xtx.lfmm.pcadapt	Vall.xtx.bf	Vall.xtx.bf.pcadapt	Vall.xtx.bf.lfmm	Vall.xtx.bf.lfmm.pcadapt	Vs.weak.none	Vs.weak.pcadapt	Vs.weak.lfmm	Vs.weak.lfmm.pcadapt	Vs.weak.bf	Vs.weak.bf.pcadapt	Vs.weak.bf.lfmm	Vs.weak.bf.lfmm.pcadapt	Vs.weak.xtx	Vs.weak.xtx.pcadapt	Vs.weak.xtx.lfmm	Vs.weak.xtx.lfmm.pcadapt	Vs.weak.xtx.bf	Vs.weak.xtx.bf.pcadapt	Vs.weak.xtx.bf.lfmm	Vs.weak.xtx.bf.lfmm.pcadapt	Vs.strong.none	Vs.strong.pcadapt	Vs.strong.lfmm	Vs.strong.lfmm.pcadapt	Vs.strong.bf	Vs.strong.bf.pcadapt	Vs.strong.bf.lfmm	Vs.strong.bf.lfmm.pcadapt	Vs.strong.xtx	Vs.strong.xtx.pcadapt	Vs.strong.xtx.lfmm	Vs.strong.xtx.lfmm.pcadapt	Vs.strong.xtx.bf	Vs.strong.xtx.bf.pcadapt	Vs.strong.xtx.bf.lfmm	Vs.strong.xtx.bf.lfmm.pcadapt	NotFound	GEAonly	FSTonly	Both	rda_veganv2.4-3_empQ_TP	rda_veganv2.4-3_empQ_TPR	dbrda_veganv2.4-3_empQ_TP	dbrda_veganv2.4-3_empQ_TPR	rda_veganv2.4-3_empP_001_TPR	rda_veganv2.4-3_empP_005_TPR	rda_veganv2.4-3_empP_01_TPR	rda_veganv2.4-3_empP_1_TPR	dbda_veganv2.4-3_empP_001_TPR	dbrda_veganv2.4-3_empP_005_TPR	dbrda_veganv2.4-3_empP_01_TPR	dbrda_veganv2.4-3_empP_1_TPR	rda_TPR_3SD	rda_FPR_3SD	rda_FDR_3SD	rda_TPR_001_3SD	rda_TPR_005_3SD	rda_TPR_01_3SD	rda_TPR_1_3SD	rda_TPR_25SD	rda_FPR_25SD	rda_FDR_25SD	rda_TPR_001_25SD	rda_TPR_005_25SD	rda_TPR_01_25SD	rda_TPR_1_25SD	dbrda_TPR_3SD	dbrda_FPR_3SD	dbrda_FDR_3SD	dbrda_TPR_001_3SD	dbrda_TPR_005_3SD	dbrda_TPR_01_3SD	dbrda_TPR_1_3SD	dbrda_TPR_25SD	dbrda_FPR_25SD	dbrda_FDR_25SD	dbrda_TPR_001_25SD	dbrda_TPR_005_25SD	dbrda_TPR_01_25SD	dbrda_TPR_1_25SD
P90	90	Pair	IBD	1351142986_950	11	20	IBD_P90_1351142986_950_11_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	126.38	0.250078288	0.16438	0.00020202	0.00010101	0.00010101	0.99	0.61	0.05	../LFMMBayenv2PCAdaptResults/IBD_P90_1351142986_950_11_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	15.2819	4.93484	25	0.575252525	0.026969697	0.00020202	0.00010101	1	0.95	0.99	0.69	0.00020202	0.99	7	99	0.00010101	0.7	1	99	0.00020202	0.99	3	98	1	0	0	0	0	0	0	0	0	22	0	16	0	8	0	53	1	0	0	0	0	0	0	0	0	22	0	15	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	22	77	99	0.99	99	0.99	0.97826087	1	1	1	0.97826087	1	1	1	0.99	0	0	0.97826087	1	1	1	0.99	0.00030303	0.029411765	0.97826087	1	1	1	0.99	0	0	0.97826087	1	1	1	0.99	0.00030303	0.029411765	0.97826087	1	1	1
P90	90	Pair	IM	1351142986_950	12	20	IM_P90_1351142986_950_12_NumPops=90_NumInd=20.bayenv	TRUE	9900	100	119.17	1.6562324	0.21119	0.00010101	0.00010101	0.00010101	0.4	0.6	0.59	../LFMMBayenv2PCAdaptResults/IM_P90_1351142986_950_12_NumPops=90_NumInd=20Bayenv2LFMMpca.Cpval	7.30049	7.30049	5	0.17030303	0.17030303	0.00010101	0.00010101	1	1	0.86	0.86	0.00010101	0.72	6	97	0.00010101	0.56	18	96	0.00010101	0.67	5	96	14	0	14	12	0	0	0	20	0	0	0	0	0	0	0	40	14	0	14	12	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	14	0	72	81	0.81	86	0.86	NA	0.604166667	1	1	NA	0.708333333	1	1	0.8	0.00010101	0.012345679	NA	0.583333333	1	1	0.89	0.00040404	0.043010753	NA	0.770833333	1	1	0.84	0	0	NA	0.666666667	1	1	0.86	0.00020202	0.022727273	NA	0.708333333	1	1
P60	60	Pair	1R	1351142954_453	1	20	1R_P60_1351142954_453_1_NumPops=60_NumInd=20.bayenv	TRUE	9900	98	88.458	0.855191949	0.15647	0.00010101	0.00010101	0.00010101	0.62244898	0.62244898	0.224489796	../LFMMBayenv2PCAdaptResults/1R_P60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	12.5546	3.32708	24	0.49010101	0	0.00010101	0.00010101	0.887755102	0.755102041	0.653061224	0.765306122	0.00010101	0.459183673	2	76	0.00010101	0.397959184	13	82	0.00010101	0.520408163	4	70	21	0	10	0	2	0	4	0	0	0	3	3	0	0	13	42	15	0	8	0	2	0	3	0	0	0	3	2	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	21	16	0	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	2R	1351142954_453	2	20	2R_P60_1351142954_453_2_NumPops=60_NumInd=20.bayenv	TRUE	9900	98	84.398	-0.132320426	0.17676	0.00010101	0.00010101	0.00010101	0.867346939	0.897959184	0.020408163	../LFMMBayenv2PCAdaptResults/2R_P60_1351142954_453_2_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	12.0041	4.08184	22	0.446666667	0.002121212	0.00010101	0.00010101	0.959183673	0.897959184	0.897959184	0.744897959	0.00010101	0.928571429	3	91	0.00010101	0.846938776	1	90	0.00010101	0.857142857	4	91	5	2	0	1	1	2	0	2	0	2	0	0	0	13	1	69	3	2	0	1	1	2	0	2	0	1	0	0	0	12	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	1	4	88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	IBD	1351142954_453	3	20	IBD_P60_1351142954_453_3_NumPops=60_NumInd=20.bayenv	TRUE	9900	100	84.83	0.885219825	0.22534	0.00020202	0.00010101	0.00010101	0.99	0.57	0	../LFMMBayenv2PCAdaptResults/IBD_P60_1351142954_453_3_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	9.57852	5.79437	16	0.348181818	0.053838384	0.00020202	0.00010101	1	0.81	0.98	0.44	0.00020202	1	1	100	0.00020202	1	20	100	0.00020202	0.98	4	100	0	0	0	1	0	0	0	0	0	36	0	6	0	20	0	37	0	0	0	1	0	0	0	0	0	34	0	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	36	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	IM	1351142954_453	4	20	IM_P60_1351142954_453_4_NumPops=60_NumInd=20.bayenv	TRUE	9900	100	81.309	0.523291129	0.24783	0.00010101	0.00010101	0.00010101	0.11	0.47	0.35	../LFMMBayenv2PCAdaptResults/IM_P60_1351142954_453_4_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	7.34016	7.02535	4	0.142323232	0.153131313	0.00010101	0.00010101	1	1	0.66	0.67	0.00010101	0.6	2	97	0.00010101	0.53	6	94	0.00010101	0.6	4	94	33	0	7	13	0	0	0	36	0	0	0	0	0	0	0	11	33	0	7	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	7	0	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	1R	1351142970_988	5	20	1R_P60_1351142970_988_5_NumPops=60_NumInd=20.bayenv	TRUE	9900	96	88.711	0.059449813	0.19371	0.00010101	0.00010101	0.00010101	0.5625	0.770833333	0.09375	../LFMMBayenv2PCAdaptResults/1R_P60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	12.8708	3.34655	26	0.502727273	0.00010101	0.00010101	0.00010101	0.90625	0.71875	0.666666667	0.677083333	0.00010101	0.572916667	8	69	0.00010101	0	5	62	0.00010101	0.5	8	65	20	1	1	0	8	1	9	2	0	0	0	0	0	1	3	50	11	1	0	0	7	1	9	2	0	0	0	0	0	1	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	20	18	1	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	2R	1351142970_988	6	20	2R_P60_1351142970_988_6_NumPops=60_NumInd=20.bayenv	TRUE	9900	100	84.723	-0.116571386	0.17978	0.00010101	0.00010101	0.00010101	0.88	0.87	0.46	../LFMMBayenv2PCAdaptResults/2R_P60_1351142970_988_6_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	11.5677	3.46187	22	0.476060606	0.00020202	0.00010101	0.00010101	0.96	0.86	0.89	0.85	0.00010101	0.91	7	92	0.00010101	0.5	10	89	0.00010101	0.82	8	91	7	1	1	1	1	0	0	1	0	1	0	2	0	5	0	80	5	0	1	1	1	0	0	1	0	1	0	2	0	5	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	7	2	2	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	IBD	1351142970_988	7	20	IBD_P60_1351142970_988_7_NumPops=60_NumInd=20.bayenv	TRUE	9900	100	83.816	0.742905723	0.20362	0.00020202	0.00010101	0.00010101	1	0.61	0.06	../LFMMBayenv2PCAdaptResults/IBD_P60_1351142970_988_7_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	11.7586	7.24467	16	0.449292929	0.127474747	0.00020202	0.00010101	1	1	1	0.35	0.00020202	1	6	99	0.00010101	0.89	5	99	0.00020202	1	6	99	0	0	0	0	0	0	0	0	0	35	0	4	0	30	0	31	0	0	0	0	0	0	0	0	0	34	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	35	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P60	60	Pair	IM	1351142970_988	8	20	IM_P60_1351142970_988_8_NumPops=60_NumInd=20.bayenv	TRUE	9900	100	81.196	0.827860162	0.20111	0.00010101	0.00010101	0.00010101	0.11	0.52	0.2	../LFMMBayenv2PCAdaptResults/IM_P60_1351142970_988_8_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval	7.51029	7.51029	5	0.173838384	0.173838384	0.00010101	0.00010101	0.96	0.96	0.63	0.63	0.00010101	0.48	6	90	0.00010101	0.52	6	87	0.00010101	0.56	8	89	37	0	9	2	0	0	6	35	0	0	0	0	0	0	0	11	37	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	37	15	0	48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
